LineItem,policyName,ProductName,GrossCommission,TotalMembers,split-percentage,value,value x TotalMembers,Role,commission-from-report,result
1,7240116791,CoreBridge Life 137%,6.13,1,41.00,2.51,2.51,Agency,2.51,TRUE
1,7240116791,CoreBridge Life 137%,6.13,1,4.00,0.25,0.25,Sales Leader,0.25,TRUE
1,7240116791,CoreBridge Life 137%,6.13,1,55.00,3.37,3.37,Agent,3.37,TRUE
2,6250187897,CoreBridge Life 90%,57.19,1,22.00,12.58,12.58,Agency,12.58,TRUE
2,6250187897,CoreBridge Life 90%,57.19,1,4.00,2.29,2.29,Sales Leader,2.29,TRUE
2,6250187897,CoreBridge Life 90%,57.19,1,74.00,42.32,42.32,Agent,42.32,TRUE
3,7250257834,CoreBridge Life 137%,148.88,1,22.00,32.75,32.75,Agency,32.75,TRUE
3,7250257834,CoreBridge Life 137%,148.88,1,4.00,5.96,5.96,Sales Leader,5.96,TRUE
3,7250257834,CoreBridge Life 137%,148.88,1,74.00,110.17,110.17,Agent,110.17,TRUE
4,6250217503,CoreBridge Life 90%,100.82,1,22.00,22.18,22.18,Agency,22.18,TRUE
4,6250217503,CoreBridge Life 90%,100.82,1,4.00,4.03,4.03,Sales Leader,4.03,TRUE
4,6250217503,CoreBridge Life 90%,100.82,1,74.00,74.61,74.61,Agent,74.61,TRUE
5,7250132001,CoreBridge Life 137%,106.31,1,23.50,24.98,24.98,Agency,24.99,TRUE
5,7250132001,CoreBridge Life 137%,106.31,1,4.00,4.25,4.25,Sales Leader,4.25,TRUE
5,7250132001,CoreBridge Life 137%,106.31,1,72.50,77.07,77.07,Agent,77.07,TRUE
6,7250257754,CoreBridge Life 137%,138.37,1,22.00,30.44,30.44,Agency,30.45,TRUE
6,7250257754,CoreBridge Life 137%,138.37,1,4.00,5.53,5.53,Sales Leader,5.53,TRUE
6,7250257754,CoreBridge Life 137%,138.37,1,74.00,102.39,102.39,Agent,102.39,TRUE
7,7240110570,CoreBridge Life 137%,4.14,1,41.00,1.70,1.70,Agency,1.69,TRUE
