LineItem,policyName,ProductName,GrossCommission,TotalMembers,split-percentage,value,value x TotalMembers,commission-from-report,result
1,7240116791,CoreBridge Life 137%,6.13,1,55.00,3.37,3.37,,
2,6250187897,CoreBridge Life 90%,57.19,1,74.00,42.32,42.32,,
3,7250257834,CoreBridge Life 137%,148.88,1,74.00,110.17,110.17,,
4,6250217503,CoreBridge Life 90%,100.82,1,74.00,74.61,74.61,,
5,7250132001,CoreBridge Life 137%,106.31,1,72.50,77.07,77.07,,
6,7250257754,CoreBridge Life 137%,138.37,1,74.00,102.39,102.39,,
7,7240110570,CoreBridge Life 137%,4.14,1,55.00,2.28,2.28,,
8,7250256551,CoreBridge Life 137%,108.23,1,74.00,80.09,80.09,,
9,7250037352,CoreBridge Life 137%,6.08,1,55.00,3.34,3.34,,
10,7240111936,CoreBridge Life 137%,3.84,1,55.00,2.11,2.11,,
11,7260046349,CoreBridge Life 137%,140.60,1,74.00,104.04,104.04,,
12,7250060334,CoreBridge Life 137%,5.46,1,55.00,3.00,3.00,,
13,7240112321,CoreBridge Life 137%,6.32,1,55.00,3.48,3.48,,
14,7240110782,CoreBridge Life 94.50%,3.13,1,55.00,1.72,1.72,,
15,7240114243,CoreBridge Life 137%,4.43,1,55.00,2.44,2.44,,
16,7260130306,CoreBridge Life 94.50%,114.01,1,74.00,84.37,84.37,,
17,7240101034,CoreBridge Life 137%,6.40,1,55.00,3.52,3.52,,
18,7250026367,CoreBridge Life 94.50%,2.57,1,55.00,1.41,1.41,,
19,6250134171,CoreBridge Life 90%,70.72,1,74.00,52.33,52.33,,
20,7250139118,CoreBridge Life 137%,4.53,1,72.50,3.28,3.28,,
21,7250128521,CoreBridge Life 137%,4.63,1,72.50,3.36,3.36,,
22,7250256522,CoreBridge Life 94.50%,81.96,1,74.00,60.65,60.65,,
23,7250132001,CoreBridge Life 137%,5.07,1,72.50,3.68,3.68,,
24,7260074820,CoreBridge Life 137%,86.47,1,74.00,63.99,63.99,,
25,7250088780,CoreBridge Life 94.50%,2.22,1,55.00,1.22,1.22,,
26,7250256534,CoreBridge Life 137%,146.59,1,74.00,108.48,108.48,,
27,6260118513,CoreBridge Life 90%,88.44,1,74.00,65.45,65.45,,
28,7250253613,CoreBridge Life 137%,115.08,1,74.00,85.16,85.16,,
29,6250121740,CoreBridge Life 90%,68.88,1,74.00,50.97,50.97,,
30,6250217507,CoreBridge Life 90%,72.53,1,74.00,53.67,53.67,,
31,7240112385,CoreBridge Life 137%,5.50,1,55.00,3.03,3.03,,
32,7250081390,CoreBridge Life 137%,5.52,1,55.00,3.04,3.04,,
33,6260101280,CoreBridge Life 90%,201.83,1,74.00,149.35,149.35,,
34,7260017569,CoreBridge Life 137%,173.89,1,74.00,128.68,128.68,,
35,7260076103,CoreBridge Life 137%,199.03,1,65.00,129.37,129.37,,
36,7240121167,CoreBridge Life 137%,5.91,1,55.00,3.25,3.25,,
37,7260053777,CoreBridge Life 137%,145.54,1,74.00,107.70,107.70,,
38,7250266530,CoreBridge Life 137%,134.42,1,72.50,97.45,97.45,,
39,7250257861,CoreBridge Life 94.50%,99.23,1,74.00,73.43,73.43,,
40,7240129740,CoreBridge Life 94.50%,3.63,1,55.00,2.00,2.00,,
41,7240125202,CoreBridge Life 94.50%,3.63,1,55.00,2.00,2.00,,
42,7250197617,CoreBridge Life 137%,139.74,1,74.00,103.41,103.41,,
43,7250151538,CoreBridge Life 137%,140.62,1,74.00,104.06,104.06,,
44,7240112516,CoreBridge Life 94.50%,3.99,1,55.00,2.19,2.19,,
45,7240112093,CoreBridge Life 137%,6.14,1,55.00,3.38,3.38,,
46,7250266530,CoreBridge Life 137%,6.62,1,72.50,4.80,4.80,,
47,7260139869,CoreBridge Life 137%,145.95,1,74.00,108.00,108.00,,
48,7260010909,CoreBridge Life 137%,197.64,1,74.00,146.25,146.25,,
49,7250043503,CoreBridge Life 137%,7.51,1,55.00,4.13,4.13,,
50,7260095214,CoreBridge Life 137%,135.15,1,74.00,100.01,100.01,,
